HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
5751,,,15,32,4.4,-38,37,23,6.25,0.2,15.53455556,-1,-38.62305556
5752,,,15,28,44.5,47,12,5,6.15,0.1,15.47902778,1,47.20138889
5753,,,15,31,50.3,-32,52,52,6.46,0.09,15.53063889,-1,-32.88111111
5754,,,15,27,40.8,62,16,32,6.5,0.14,15.46133333,1,62.27555556
5755,,,15,27,51.4,60,40,13,5.9,1.44,15.46427778,1,60.67027778
5756,,,15,31,43.4,-20,9,53,6.22,0.22,15.52872222,-1,-20.16472222
5757,,,15,39,18.3,-77,55,5,6.18,1.2,15.65508333,-1,-77.91805556
5758,,,15,30,55.4,8,34,45,6.57,0.37,15.51538889,1,8.579166667
5759,,,15,28,56.8,55,11,42,6.43,0.08,15.48244444,1,55.195
5760,,,15,30,22.7,31,17,10,6.46,0.19,15.50630556,1,31.28611111
5761,,,15,30,27.9,36,48,15,6.37,,15.50775,1,36.80416667
